date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name,streams_agg
06-01-2022,Norway,70,111128,6I3qYn8uvUIVHoMQmo8pna,"['Bernhoft', 'Hver gang vi møtes']","['modern funk', 'norwegian indie', 'norwegian pop', 'nordnorsk musikk']",204266,False,Fallen Angel,111128
30-12-2021,Latvia,149,7969,6I4IrplCBdVFK0GwJYKQGu,"['Bet Bet', 'Jāzepa Mediņa Rīgas 1. Mūzikas Skolas Zēnu Koris']",['latvian pop'],172647,False,"Ticot, Mīlot Un Gaidot",7969
22-12-2022,Hong Kong,156,29430,6I4jh07BFWM2lrkxX9Q22d,['Endy Chow'],['cantopop'],362104,False,鬼怒川,29430
26-11-2020,Egypt,148,8811,6I55pzr1syZYV7xgo3AU7F,['Abyusif'],"['egyptian pop', 'egyptian trap', 'egyptian hip hop']",168421,False,H,25053
29-10-2015,Argentina,144,45765,6I7RA6kxlawfvGnKTzXntw,['Las Pastillas del Abuelo'],"['latin alternative', 'argentine rock', 'rock nacional', 'rock en espanol', 'latin rock']",220013,False,Lo Que Tenga Que Ser,45765
09-07-2020,"Taiwan, Province of China",70,80618,6I7bY6Wvh8NMUY8dBBhwz4,['Hebe Tien'],"['taiwan pop', 'mandopop']",250733,False,一一,550423
26-10-2014,Mexico,70,107270,6I86RF3odBlcuZA9Vfjzeq,['Romeo Santos'],['bachata'],250640,False,Eres Mía,25657181
19-01-2017,Germany,115,266778,6I8R2dillIEsMrBm6IZqxv,['SDP'],"['german reggae', 'german pop']",195000,False,So schön kaputt,6479646
09-12-2021,Bulgaria,88,8841,6IA1LZerygFsTtFqlK5Pw5,['V:RGO'],"['balkan trap', 'bulgarian trap', 'bulgarian pop']",165282,True,SCENATA,8841
30-06-2022,Portugal,69,81618,6IAVU9psKD2kJ2bGg4Vemp,['Sippinpurpp'],"['trap tuga', 'hip hop tuga']",226622,False,NR5,251159
26-05-2022,Belarus,134,11065,6IBXQZOOBNUclpZCQ1SMBy,"['nkeeei', 'uniqe', 'ARTEM SHILOVETS', 'White Punk']","['russian drill', 'russian hip hop', 'russian trap', 'russian drain']",125373,False,ЗАПРЕЩЕНА,21856
08-04-2021,Indonesia,124,273406,6ICTnGsaokIDEYobnwuCjZ,['Yura Yunita'],"['indonesian singer-songwriter', 'indonesian jazz', 'indonesian pop']",247800,False,Tenang,22920548
07-09-2017,Thailand,41,18397,6IDsfMh7YJlE3R2mB1DYXH,"['Oat Pramote', 'URBOYTJ']","['thai pop', 'thai hip hop']",204000,False,มีแฟนแล้ว,393634
16-09-2021,Japan,58,406125,6IHWPY5iBUI1AOUclbtE6F,['Ayase'],['vocaloid'],262800,False,夜撫でるメノウ,20285634
04-07-2019,Saudi Arabia,186,9442,6IIp05oTdP2JJ8kQQzLRQQ,"['Aseel Hameem', 'Hussain Al Ghazal']","['khaliji', 'khaleeji iraqi']",220863,False,Ahla Sheaa,291361
11-06-2015,Dominican Republic,23,6687,6IJyLHfGGkb7oQy3DlLAs5,"['Mark B.', 'El Alfa']","['reggaeton', 'trap latino', 'rap dominicano', 'dembow']",189866,False,Pal de Velitas,336310
14-04-2016,Indonesia,17,61649,6IPbCOI5fKG2sqKspnSuS2,['Raisa'],"['indonesian singer-songwriter', 'indonesian r&b', 'indonesian pop']",257252,False,Kali Kedua - Handmade,222920
22-07-2021,Viet Nam,129,34698,6IQ4jy1T0Ddkfmo8gfrzL4,['Suboi'],"['vietnamese hip hop', 'vietnamese melodic rap']",219039,False,Lava,34698
04-04-2019,,11,21263958,6IRdLKIyS4p7XNiP8r6rsx,['Billie Eilish'],"['art pop', 'pop', 'electropop']",168839,False,all the good girls go to hell,308499610
11-06-2020,Morocco,163,7151,6IUI26Z6MzLJZTUA3qAz4O,['7ari'],"['rap maroc', 'arabic hip hop', 'moroccan pop']",280359,True,3AYM,251683
14-05-2020,Finland,76,73029,6IVvVmNqBLnVHh3q7itLlb,['Laura Närhi'],"['suomi rock', 'iskelma', 'finnish dance pop', 'finnish pop']",224994,False,Mä elän,164902
29-06-2017,France,152,158256,6IXOOqrKZfLDn88dNez4ex,['Bigflo & Oli'],"['rap conscient', 'francoton']",487133,True,La vraie vie,158256
16-06-2016,Netherlands,140,112807,6IZV1oHW6c9fFoX8eBLwpb,['CHO'],"['dutch pop', 'dutch hip hop', 'dutch rap pop']",230000,True,Overdosis,112807
11-05-2017,Türkiye,132,42415,6IZglq7mInwIPeFnLYvqin,['Aydın Kurtoğlu'],"['turkish pop', 'turkish trap pop']",191397,False,Tüh tüh,1936350
20-04-2017,,24,15705825,6IZvVAP7VPPnsGX6bvgkqg,['Kendrick Lamar'],"['conscious hip hop', 'west coast rap', 'hip hop', 'rap']",275253,True,PRIDE.,80745989
03-05-2018,,15,21648376,6IaieqiCVvsNvEt6Y7yOFa,"['Post Malone', 'Nicki Minaj']","['queens hip hop', 'melodic rap', 'pop', 'dfw rap', 'hip pop', 'dance pop', 'rap']",206266,True,Ball For Me (feat. Nicki Minaj),305100862
30-07-2020,Viet Nam,47,59971,6Ib60kjsTqniNRCNsFprK1,"['TRANG', 'Tiên Tiên']","['indie viet', 'v-pop', 'vietnamese singer-songwriter']",192720,False,I Don't Wanna Miss You,306050
16-09-2021,United States,121,1865092,6IbCvfmmICEEAyDwQ9zcbt,['Glass Animals'],"['indietronica', 'shiver pop', 'gauze pop']",195190,True,I Don't Wanna Talk (I Just Wanna Dance),1878333
12-08-2021,Dominican Republic,170,13559,6IbqW9bSL7M6RklWlh74po,"['El Cienty', 'El Fresch', 'Yomel El Meloso']","['dominican pop', 'rap dominicano', 'dembow']",192005,True,En Cuanto (Remix),215663
28-01-2021,Italy,15,1236404,6If8wzQDnqS340jeKfRNVk,"['Capo Plaza', 'Luciano']","['trap italiana', 'italian hip hop', 'german drill']",185379,True,Ferrari (feat. Luciano),2054859
25-10-2018,Iceland,38,15169,6Ij7GN8d87qFD9TjrurOGx,"['Izleifur', '24/7']",['icelandic hip hop'],162093,True,Seðlar Fjúka,21417
22-09-2022,Germany,120,514731,6IkcTpdDbL4OVg7skLdUyF,['Electric Callboy'],"['german metalcore', 'comic metal', 'trancecore']",222866,True,Arrow of Love,514731
26-03-2020,Portugal,179,35100,6Ikd4jWChNr4XL9ao7CVhr,['Papillon'],['hip hop tuga'],255986,True,AAA,35100
27-12-2018,Panama,158,9931,6InAsgddPjAcuF7mSHDT8K,['El Gran Combo De Puerto Rico'],"['salsa puertorriquena', 'tropical', 'salsa']",268106,False,No Hay Cama Pa' Tanta Gente,56120
